"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
721115061,"Thalassoma pavo","(Linnaeus, 1758)","2014-01-04 12:00:00",25.7221,35.2047,"Diveboard","Diveboard","diveboard:111259_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Mirabello bay",,,,,,"IMIS:dasid:4542",,6,,,,,,"10:30:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Nikolos Reef, Agios Nikolaos, Crete",,,,,"12","0","2014-11-27 15:38:23",,,,,,"diveboard:111259_204793_0",,"present","Perciformes",,,,,,"Chordata",808975487,,"Pelagos","http://www.diveboard.com/www.divecrete.com/D4NnuF1",,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2014"
721116682,"Thalassoma pavo","(Linnaeus, 1758)","2013-10-14 12:00:00",-15.382,27.8719,"Diveboard","Diveboard","diveboard:99292_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Atlantic Ocean",,,,,,"IMIS:dasid:4542",,8.5,,,,,,"00:00:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Puenta La Monja, Gran Canaria",,,,,"17","0","2014-11-27 15:38:23",,,,,,"diveboard:99292_204793_0",,"present","Perciformes",,,,,,"Chordata",808975487,,"Sigurd Jakobsen","http://www.diveboard.com/sigurdjakobsen/D2DJWeR",,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721117107,"Thalassoma pavo","(Linnaeus, 1758)","2013-09-28 12:00:00",3.19788,41.8795,"Diveboard","Diveboard","diveboard:95093_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Balearic Sea",,,,,,"IMIS:dasid:4542",,12.345,,,,,,"11:36:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Ullastre I, Palamos Town To Cap De Begur",,,,,"24.69","0","2014-11-27 15:38:23",,,,,,"diveboard:95093_204793_0",,"present","Perciformes",,,,,,"Chordata",808975487,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721117269,"Thalassoma pavo","(Linnaeus, 1758)","2013-09-28 12:00:00",3.20708,41.8909,"Diveboard","Diveboard","diveboard:95094_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Mar Mediterráneo",,,,,,"IMIS:dasid:4542",,12.955,,,,,,"09:30:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Ullastre Iii, Llafranc",,,,,"25.91","0","2014-11-27 15:38:23",,,,,,"diveboard:95094_204793_0",,"present","Perciformes",,,,,,"Chordata",808975487,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721117510,"Thalassoma pavo","(Linnaeus, 1758)","2013-07-03 12:00:00",2.9396400000000003,41.7217,"Diveboard","Diveboard","diveboard:72230_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Balearic Sea",,,,,,"IMIS:dasid:4542",,4.265,,,,,,"17:22:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Mar Menuda, Tossa De Mar",,,,,"8.53","0","2014-11-27 15:38:23",,,,,,"diveboard:72230_204793_0",,"present","Perciformes",,,,,,"Chordata",870841471,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721117518,"Thalassoma pavo","(Linnaeus, 1758)","2013-09-14 12:00:00",3.20418,41.896,"Diveboard","Diveboard","diveboard:93347_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Mediterranean Sea",,,,,,"IMIS:dasid:4542",,10.06,,,,,,"16:09:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Cala Pedrosa, Llafranc",,,,,"20.12","0","2014-11-27 15:38:23",,,,,,"diveboard:93347_204793_0",,"present","Perciformes",,,,,,"Chordata",871890047,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721117563,"Thalassoma pavo","(Linnaeus, 1758)","2013-08-05 12:00:00",3.2267799999999998,42.0411,"Diveboard","Diveboard","diveboard:82145_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Mediterranean Sea",,,,,,"IMIS:dasid:4542",,12.8,,,,,,"09:25:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Tasco Petit, Estartit & Medes Islands",,,,,"25.6","0","2014-11-27 15:38:23",,,,,,"diveboard:82145_204793_0",,"present","Perciformes",,,,,,"Chordata",808975487,,"Buran","http://www.diveboard.com/energiaburan/D6S1Qfc",,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721117899,"Thalassoma pavo","(Linnaeus, 1758)","2013-08-24 12:00:00",2.90592,41.71,"Diveboard","Diveboard","diveboard:87166_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Mediterranean Sea",,,,,,"IMIS:dasid:4542",,3.05,,,,,,"17:50:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Cala Llorell, Tossa De Mar",,,,,"6.1","0","2014-11-27 15:38:23",,,,,,"diveboard:87166_204793_0",,"present","Perciformes",,,,,,"Chordata",868744319,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721118219,"Thalassoma pavo","(Linnaeus, 1758)","2013-07-07 12:00:00",3.2147,41.9163,"Diveboard","Diveboard","diveboard:73647_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Balearic Sea",,,,,,"IMIS:dasid:4542",,9.755,,,,,,"09:34:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"El Montiell, Palamos Town To Cap De Begur",,,,,"19.51","0","2014-11-27 15:38:23",,,,,,"diveboard:73647_204793_0",,"present","Perciformes",,,,,,"Chordata",807926911,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
721118332,"Thalassoma pavo","(Linnaeus, 1758)","2013-08-03 12:00:00",2.90592,41.71,"Diveboard","Diveboard","diveboard:81174_204793_0","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,"Occurrence",,,"Actinopterygii",,"Mediterranean Sea",,,,,,"IMIS:dasid:4542",,3.05,,,,,,"13:54:00","Labridae",,,,,,"Thalassoma","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Cala Llorell, Tossa De Mar",,,,,"6.1","0","2014-11-27 15:38:23",,,,,,"diveboard:81174_204793_0",,"present","Perciformes",,,,,,"Chordata",868744319,,"Anonymous",,,3422,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"2013"
